method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc,lrc_pct,orc_pct,status,error
LRC→ORC combo,louvain,4,0.13709000490964665,0.3250514124224037,51,51,171,1,0.7639810409746133,0.7619074579561129,0.002073583018500358,116,56,10,10,0.25,5,-1.1903386372909015,-0.08508798146913987,10,10,ok,
LRC→ORC combo,louvain,42,0.27916109484232443,0.40955327900119476,51,51,171,1,0.7637215829454362,0.7619074579561129,0.001814124989323318,116,56,10,10,0.25,5,-1.1903386372909015,-0.08508798146913987,10,10,ok,
LRC→ORC combo,louvain,0,0.5327419548853696,0.6449089178305677,81,81,321,1,0.5463992489967495,0.5426726659643464,0.0037265830324031413,176,0,15,0,0.25,5,-1.0961538461538463,,15,0,ok,
LRC→ORC combo,louvain,1,0.49908308458377393,0.628081878070736,81,81,321,1,0.5463671659235843,0.5426726659643464,0.0036944999592378736,176,0,15,0,0.25,5,-1.0961538461538463,,15,0,ok,
LRC→ORC combo,louvain,2,0.5327419548853696,0.6449089178305678,81,81,321,1,0.5464226239710115,0.5426726659643464,0.0037499580066651106,176,0,15,0,0.25,5,-1.0961538461538463,,15,0,ok,
LRC→ORC combo,louvain,3,0.49908308458377393,0.628081878070736,81,81,321,1,0.5461475409683771,0.5426726659643464,0.003474875004030764,176,0,15,0,0.25,5,-1.0961538461538463,,15,0,ok,
LRC→ORC combo,louvain,4,0.5327419548853696,0.6449089178305678,81,81,321,1,0.5467659579589963,0.5426726659643464,0.004093291994649917,176,0,15,0,0.25,5,-1.0961538461538463,,15,0,ok,
LRC→ORC combo,louvain,42,0.5327419548853696,0.6449089178305678,81,81,321,1,0.5456650829291902,0.5426726659643464,0.002992416964843869,176,0,15,0,0.25,5,-1.0961538461538463,,15,0,ok,
LRC→ORC combo,louvain,0,0.5327419548853696,0.6449089178305678,81,81,314,1,0.5348512920318171,0.531303542025853,0.0035477500059641898,176,7,15,2,0.25,5,-1.0961538461538463,-0.21115554272494796,15,2,ok,
LRC→ORC combo,louvain,1,0.5280510211323446,0.6311122853730559,81,81,314,1,0.5351623750175349,0.531303542025853,0.003858832991681993,176,7,15,2,0.25,5,-1.0961538461538463,-0.21115554272494796,15,2,ok,
LRC→ORC combo,louvain,2,0.5327419548853696,0.6449089178305677,81,81,314,1,0.5350588340079412,0.531303542025853,0.003755291982088238,176,7,15,2,0.25,5,-1.0961538461538463,-0.21115554272494796,15,2,ok,
LRC→ORC combo,louvain,3,0.49908308458377393,0.628081878070736,81,81,314,1,0.5350007920060307,0.531303542025853,0.0036972499801777303,176,7,15,2,0.25,5,-1.0961538461538463,-0.21115554272494796,15,2,ok,
LRC→ORC combo,louvain,4,0.5327419548853696,0.6449089178305677,81,81,314,1,0.5346446670009755,0.531303542025853,0.0033411249751225114,176,7,15,2,0.25,5,-1.0961538461538463,-0.21115554272494796,15,2,ok,
LRC→ORC combo,louvain,42,0.5568364176826347,0.6348825320828155,81,81,314,1,0.534685917024035,0.531303542025853,0.0033823749981820583,176,7,15,2,0.25,5,-1.0961538461538463,-0.21115554272494796,15,2,ok,
LRC→ORC combo,louvain,0,0.5628429975440618,0.6469148465117898,81,81,304,1,0.5389702090178616,0.5356395000126213,0.003330709005240351,176,17,15,5,0.25,5,-1.0961538461538463,-0.14997383510983453,15,5,ok,
LRC→ORC combo,louvain,1,0.5315178211747731,0.6568081265937044,81,81,304,1,0.5386566669913009,0.5356395000126213,0.0030171669786795974,176,17,15,5,0.25,5,-1.0961538461538463,-0.14997383510983453,15,5,ok,
LRC→ORC combo,louvain,2,0.546694598852877,0.6485771590068088,81,81,304,1,0.5388890419853851,0.5356395000126213,0.0032495419727638364,176,17,15,5,0.25,5,-1.0961538461538463,-0.14997383510983453,15,5,ok,
LRC→ORC combo,louvain,3,0.5443139960137019,0.6610204439820234,81,81,304,1,0.5385792910237797,0.5356395000126213,0.002939791011158377,176,17,15,5,0.25,5,-1.0961538461538463,-0.14997383510983453,15,5,ok,
LRC→ORC combo,louvain,4,0.4736014059464886,0.610786484885487,81,81,304,1,0.5388854999910109,0.5356395000126213,0.003245999978389591,176,17,15,5,0.25,5,-1.0961538461538463,-0.14997383510983453,15,5,ok,
LRC→ORC combo,louvain,42,0.49908308458377393,0.628081878070736,81,81,304,1,0.5393602499971166,0.5356395000126213,0.0037207499844953418,176,17,15,5,0.25,5,-1.0961538461538463,-0.14997383510983453,15,5,ok,
LRC→ORC combo,louvain,0,0.1809401548767707,0.3633152568089178,51,51,176,1,0.5390934580354951,0.5366440000361763,0.002449457999318838,176,33,15,10,0.25,5,-1.0961538461538463,-0.10680419010483932,15,10,ok,
LRC→ORC combo,louvain,1,0.0981553573066256,0.31738426531115804,51,51,176,1,0.5385412920149975,0.5366440000361763,0.0018972919788211584,176,33,15,10,0.25,5,-1.0961538461538463,-0.10680419010483932,15,10,ok,
LRC→ORC combo,louvain,2,0.0981553573066256,0.31738426531115804,51,51,176,1,0.5387040420318954,0.5366440000361763,0.002060041995719075,176,33,15,10,0.25,5,-1.0961538461538463,-0.10680419010483932,15,10,ok,
LRC→ORC combo,louvain,3,0.0981553573066256,0.31738426531115804,51,51,176,1,0.538708417036105,0.5366440000361763,0.0020644169999286532,176,33,15,10,0.25,5,-1.0961538461538463,-0.10680419010483932,15,10,ok,
LRC→ORC combo,louvain,4,0.19420221390906886,0.3738987566216307,51,51,176,1,0.5387127920403145,0.5366440000361763,0.0020687920041382313,176,33,15,10,0.25,5,-1.0961538461538463,-0.10680419010483932,15,10,ok,
LRC→ORC combo,louvain,42,0.1809401548767707,0.3633152568089178,51,51,176,1,0.5384808329981752,0.5366440000361763,0.00183683296199888,176,33,15,10,0.25,5,-1.0961538461538463,-0.10680419010483932,15,10,ok,
LRC→ORC combo,louvain,0,0.017798513910489026,0.05557524296967721,64,64,187,1,0.37581045902334154,0.37270275002811104,0.003107708995230496,235,0,20,0,0.25,5,-1.0125000000000002,,20,0,ok,
LRC→ORC combo,louvain,1,0.017798513910489026,0.05557524296967721,64,64,187,1,0.3749777920311317,0.37270275002811104,0.002275042003020644,235,0,20,0,0.25,5,-1.0125000000000002,,20,0,ok,
LRC→ORC combo,louvain,2,0.017146776406035666,0.05510292552436666,64,64,187,1,0.3761734170257114,0.37270275002811104,0.003470666997600347,235,0,20,0,0.25,5,-1.0125000000000002,,20,0,ok,
LRC→ORC combo,louvain,3,0.023215188709603273,0.06351065023421522,64,64,187,1,0.3754722920130007,0.37270275002811104,0.0027695419848896563,235,0,20,0,0.25,5,-1.0125000000000002,,20,0,ok,
LRC→ORC combo,louvain,4,0.017146776406035666,0.05510292552436666,64,64,187,1,0.37502500001573935,0.37270275002811104,0.002322249987628311,235,0,20,0,0.25,5,-1.0125000000000002,,20,0,ok,
LRC→ORC combo,louvain,42,0.017798513910489026,0.05557524296967721,64,64,187,1,0.37518245802493766,0.37270275002811104,0.002479707996826619,235,0,20,0,0.25,5,-1.0125000000000002,,20,0,ok,
LRC→ORC combo,louvain,0,0.0215126505209038,0.06228305986278041,64,64,183,1,0.3816886249696836,0.3779569589532912,0.00373166601639241,235,4,20,2,0.25,5,-1.0125000000000002,-0.22780251253526063,20,2,ok,
